25	137	r811u32n03.milgram.ycrc.yale.edu	2024-07-06 19:49:55	2024-07-08 01:03:12	105197.31	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_01312018_accg.m');"
27	0	r811u32n01.milgram.ycrc.yale.edu	2024-07-07 18:17:43	2024-07-08 16:32:34	80090.44	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_02022018_bla.m');"
31	0	r811u34n04.milgram.ycrc.yale.edu	2024-07-07 20:13:56	2024-07-08 18:52:15	81498.74	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_02062018_bla.m');"
28	0	r811u32n02.milgram.ycrc.yale.edu	2024-07-07 19:42:38	2024-07-08 23:53:10	101432.49	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_02042018_bla.m');"
34	0	r811u34n04.milgram.ycrc.yale.edu	2024-07-08 18:52:17	2024-07-09 03:29:32	31034.41	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_08242018_accg.m');"
32	0	r811u32n03.milgram.ycrc.yale.edu	2024-07-08 01:03:16	2024-07-09 06:10:14	104818.35	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_02062018_ofc.m');"
33	0	r811u32n01.milgram.ycrc.yale.edu	2024-07-08 16:33:42	2024-07-09 06:36:29	50566.49	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_02082018_bla.m');"
37	0	r811u32n03.milgram.ycrc.yale.edu	2024-07-09 06:10:16	2024-07-10 11:45:19	106502.89	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_08282018_bla.m');"
35	0	r811u32n02.milgram.ycrc.yale.edu	2024-07-08 23:53:12	2024-07-10 14:21:00	138467.04	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_08272018_bla.m');"
36	0	r811u34n04.milgram.ycrc.yale.edu	2024-07-09 03:29:35	2024-07-10 14:46:57	127042.09	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_08272018_ofc.m');"
44	0	r812u35n01.milgram.ycrc.yale.edu	2024-07-10 16:13:25	2024-07-10 16:32:34	1149.42	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_09272018_accg.m');"
43	0	r811u34n03.milgram.ycrc.yale.edu	2024-07-10 16:13:25	2024-07-10 17:15:36	3730.68	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_09042018_accg.m');"
47	0	r811u34n03.milgram.ycrc.yale.edu	2024-07-10 17:15:38	2024-07-10 18:27:11	4293.41	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_10012018_accg.m');"
42	0	r811u34n02.milgram.ycrc.yale.edu	2024-07-10 16:13:25	2024-07-10 18:52:01	9516.33	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_08302018_dmpfc.m');"
49	0	r811u34n02.milgram.ycrc.yale.edu	2024-07-10 18:52:04	2024-07-10 19:05:52	828.10	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_10012018_dmpfc.m');"
38	0	r812u33n04.milgram.ycrc.yale.edu	2024-07-09 06:37:23	2024-07-11 01:55:13	155870.46	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_08282018_ofc.m');"
